fixture_id;id_time;time;formation;coach
1035472;62;Sheffield Utd;3-5-2;C. Wilder
1035472;36;Fulham;4-2-3-1;Marco Silva
1035478;65;Nottingham Forest;4-2-3-1;Nuno Espírito Santo
1035478;36;Fulham;4-2-3-1;Marco Silva
1035056;39;Wolves;4-4-1-1;G. O'Neil
1035056;51;Brighton;4-2-3-1;R. De Zerbi
1035063;45;Everton;4-1-4-1;S. Dyche
1035063;39;Wolves;4-4-1-1;G. O'Neil
1035072;52;Crystal Palace;4-2-3-1;R. Hodgson
1035072;39;Wolves;4-4-1-1;G. O'Neil
1035086;39;Wolves;4-2-3-1;G. O'Neil
1035086;40;Liverpool;4-3-3;J. Klopp
1035094;1359;Luton;3-4-3;R. Edwards
1035094;39;Wolves;4-2-3-1;G. O'Neil
1035106;39;Wolves;3-4-3;G. O'Neil
1035106;50;Manchester City;4-2-3-1;Pep Guardiola
1035116;39;Wolves;3-4-3;G. O'Neil
1035116;66;Aston Villa;4-4-2;Unai Emery
1035136;39;Wolves;4-4-2;G. O'Neil
1035136;34;Newcastle;4-3-3;E. Howe
1035145;62;Sheffield Utd;3-4-1-2;P. Heckingbottom
1035145;39;Wolves;4-4-1-1;G. O'Neil
1035156;39;Wolves;3-5-2;G. O'Neil
1035156;47;Tottenham;4-3-3;A. Postecoglou
1035305;42;Arsenal;4-3-3;Mikel Arteta
1035305;39;Wolves;3-5-2;G. O'Neil
1035333;39;Wolves;3-4-3;G. O'Neil
1035333;65;Nottingham Forest;3-5-2;S. Cooper
1035343;48;West Ham;4-2-3-1;D. Moyes
1035343;39;Wolves;3-4-3;G. O'Neil
1035353;39;Wolves;3-4-2-1;G. O'Neil
1035353;49;Chelsea;4-2-3-1;M. Pochettino
1035356;55;Brentford;4-3-3;T. Frank
1035356;39;Wolves;3-4-2-1;G. O'Neil
1035373;39;Wolves;3-4-2-1;G. O'Neil
1035373;45;Everton;5-4-1;S. Dyche
1035399;49;Chelsea;4-2-3-1;M. Pochettino
1035399;39;Wolves;3-4-2-1;G. O'Neil
1035413;39;Wolves;3-4-2-1;G. O'Neil
1035413;55;Brentford;3-5-2;T. Frank
1035423;47;Tottenham;4-2-3-1;A. Postecoglou
1035423;39;Wolves;3-4-2-1;G. O'Neil
1035433;39;Wolves;3-4-2-1;G. O'Neil
1035433;62;Sheffield Utd;3-5-2;C. Wilder
1035465;66;Aston Villa;4-4-2;Unai Emery
1035465;39;Wolves;3-4-2-1;G. O'Neil
